0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:47:59 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:47:59 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:47:59 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:47:59 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:47:59 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:47:59 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:47:59 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/ HTTP/1.1" 200 27768
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:52:59 +0700] "GET /shopbanhang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:53:01 +0700] "GET /shopbanhang/san-pham HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:53:02 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:53:06 +0700] "GET /shopbanhang/ HTTP/1.1" 200 27770
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:53:06 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:53:06 +0700] "GET /shopbanhang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:53:06 +0700] "GET /shopbanhang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:53:06 +0700] "GET /shopbanhang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:53:06 +0700] "GET /shopbanhang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:53:06 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
