0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/img/maestro.png;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/img/disc.png;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/img/visa.png;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/img/mc.png;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:20 +0700] "GET /shopbanhang/assets/user/js/bootstrap.min.js;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 28631
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:21 +0700] "GET /shopbanhang/assets/user/font-awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:22 +0700] "GET /shopbanhang/assets/user/ico/favicon.ico;jsessionid=D50078DFD894A14A8422D2CF322950EC HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/ HTTP/1.1" 200 21030
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/js/shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/img/bootstrap_free-ecommerce.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/img/bootstrappage_shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/bootstrap-ring.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/g.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/img/bootstrap-template.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/img/bootstrap-ring.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/s.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/j.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/c.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/h.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/f.jpg HTTP/1.1" 404 682
